name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Rangi,Uzatma,Kami bor,price
Chevrolet Spark,Toshkent,2013,1.3 (Gaz-benzin),Hatchback,66 000 km,Mexanika,Delfin,Oldi,Ha,6300
Chevrolet Cobalt,Toshkent,2019,1.5 (Benzin),Sedan,46 000 km,Mexanika,Oq,Oldi,,10000
Chevrolet Cobalt,Termiz,2014,1.5 (Gaz-benzin),Sedan,132 000 km,Mexanika,Delfin,Oldi,,8700
Chevrolet Captiva,Qarshi,2018,2.4 (Gibrid),Krossover,83 000 km,Avtomat,Qora,Oldi,,28500
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,127 km,Avtomat,Qora,Oldi,Ha,15200
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,15 km,Avtomat,Qora,Oldi,,14220
Kia Seltos,Toshkent,2021,2 (Benzin),Krossover,132 000 km,Avtomat,Qora,,Ha,34164
Chevrolet Spark,Toshkent,2020,1.3 (Benzin),Hatchback,45 000 km,Mexanika,Oq,Oldi,Ha,8200
Hyundai Elantra,Toshkent,2020,1.6 (Benzin),Sedan,56 000 km,Avtomat,,To'liq,Ha,22622
Chevrolet Nexia 3,Jizzax,2017,1.5 (Benzin),Sedan,151 000 km,Avtomat,Oq,Oldi,Ha,8300
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,25 km,Avtomat,Oq,Oldi,,10711
Chevrolet Spark,Toshkent,2015,1 (Benzin),Hatchback,81 050 km,Avtomat,Qizil,Oldi,,6200
Tesla Model 3,Toshkent,2019,2 (Elektr),Sedan,22 000 km,Avtomat,Qizil,Orqa,Ha,44999
Hyundai Grand Starex,Qo'qon,2009,2.4 (Gaz),Miniven,359 000 km,Avtomat,,To'liq,Ha,17900
UAZ Hunter,Buxoro,2004,,Yo‘ltanlamas,98 000 km,,Mokriy asfalt,,Ha,3000
Daewoo Tico,Farg'ona,1997,,Universal,400 km,Mexanika,,To'liq,,1847
Chevrolet Lacetti,Toshkent,2019,1.8 (Gaz-benzin),Sedan,42 000 km,Mexanika,Mokriy asfalt,Oldi,,10800
Chevrolet Cobalt,Toshkent,2013,1.5 (Benzin),Sedan,94 500 km,Mexanika,,Oldi,Ha,8000
Chevrolet Nexia 3,Toshkent,2020,1.5 (Benzin),Sedan,39 000 km,Avtomat,Mokriy asfalt,Oldi,,10000
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,12000
Chevrolet Spark,Toshkent,2018,1.3 (Benzin),Hatchback,5 650 km,Mexanika,Oq,Oldi,,7500
Chevrolet Lacetti,Angren,2013,1.8 (Benzin),Sedan,280 000 km,Mexanika,Oq,Oldi,Ha,8000
Hyundai Elantra,Toshkent,2021,1.6 (Benzin),Sedan,8 200 km,Avtomat,Qizil,Oldi,Ha,28347
Hyundai Elantra,Toshkent,2020,1.6 (Benzin),Sedan,56 000 km,Avtomat,,Oldi,Ha,24007
Chevrolet Cobalt,Buxoro,2022,1.5 (Benzin),Sedan,,Avtomat,Mokriy asfalt,Oldi,Ha,12373
Chevrolet Lacetti,Angren,2018,1.8 (Gaz-benzin),Sedan,370 000 km,Mexanika,Oq,Oldi,Ha,9500
Chevrolet Captiva,Zarafshon,2013,3 (Benzin),Krossover,110 000 km,Avtomat,Oq,To'liq,Ha,16000
Chevrolet Lacetti,Toshkent,2018,1.8 (Gaz-benzin),Sedan,55 000 km,Mexanika,Kulrang,Oldi,,13000
Chevrolet Lacetti,Samarqand,2015,1.6 (Gaz-benzin),Sedan,70 000 km,Avtomat,,Oldi,,11000
Chevrolet Epica,Toshkent,2011,2.5 (Benzin),Sedan,230 000 km,Avtomat,Qaymoq rang,Oldi,Ha,8700
Isuzu D-Max,Toshkent,2022,2.5 (Dizel),Pikup,,Mexanika,Oq,To'liq,,36842
VAZ (Lada) Niva,Samarqand,2003,1.7 (Gaz-benzin),Yo‘ltanlamas,305 000 km,Mexanika,,To'liq,,5540
Hyundai Sonata,Toshkent,2020,2.5 (Benzin),Sedan,66 000 km,Avtomat,Oq,Oldi,Ha,34164
Hyundai Elantra,Toshkent,2021,1.6 (Benzin),Sedan,40 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,24838
Chevrolet Spark,Toshkent,2013,1.3 (Benzin),Hatchback,190 000 km,Mexanika,Kumush rang,Oldi,,6000
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,12000
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,2 000 km,Avtomat,Oq,Oldi,,11200
Hyundai Santa Fe,Jizzax,2021,,Yo‘ltanlamas,35 000 km,Avtomat,Mokriy asfalt,To'liq,Ha,45000
Hyundai Sonata,Toshkent,2020,2.5 (Benzin),Sedan,12 500 km,Avtomat,Oq,Oldi,Ha,40628
Chevrolet Lacetti,Toshkent,2013,1.8 (Gaz-benzin),Sedan,180 000 km,Mexanika,Delfin,Oldi,Ha,9000
Chevrolet Damas,Buxoro,2021,2 (Benzin),Sedan,6 500 km,Mexanika,Oq,Orqa,,8000
