name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Uzatma,Kami bor,Rangi
Chevrolet Lacetti,Urganch,2015,1.5 (Gaz-benzin),Sedan,100 000 km,Avtomat,Oldi,Ha,
Chevrolet Nexia 2,Farg'ona,2010,,Sedan,276 000 km,Mexanika,Oldi,,Oq
Chevrolet Lacetti,Sho'rchi tumani,2005,1.8 (Gaz-benzin),Sedan,,Avtomat,Oldi,,Qora
Chevrolet Cobalt,Qarshi,2021,1.5 (Benzin),Sedan,3 km,Avtomat,Oldi,Ha,Oq
Chevrolet Nexia 3,Samarqand,2019,1.5 (Benzin),Sedan,17 000 km,Mexanika,Oldi,Ha,Oq
Chevrolet Lacetti,Toshkent,2011,1.8 (Gaz-benzin),Sedan,371 000 km,Mexanika,Oldi,,Bronza
Chevrolet Captiva,Navoiy,2014,3.2 (Benzin),Krossover,28 400 km,Avtomat,To'liq,Ha,Oq
Chevrolet Spark,Farg'ona,2012,1.3 (Gaz-benzin),Hatchback,322 000 km,Mexanika,Oldi,Ha,Oq
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,1 200 km,Avtomat,Oldi,,Qora
Chevrolet Spark,Nukus,2015,1.3 (Gaz-benzin),Sedan,165 000 km,Mexanika,Oldi,Ha,Ko'k-xavorang
Chevrolet Spark,Chirchiq,2017,1.3 (Gaz-benzin),Hatchback,241 000 km,Mexanika,Oldi,Ha,Delfin
Chevrolet Captiva,Shahrisabz tumani,2010,2.3 (Gaz-benzin),Krossover,150 km,Mexanika,To'liq,,Qora
Chevrolet Nexia 3,Uchquduq tumani,2020,1.5 (Benzin),Sedan,36 006 km,Mexanika,Oldi,Ha,Oq
Chevrolet Nexia 3,Toshkent,2019,1.5 (Benzin),Sedan,38 000 km,Mexanika,Oldi,,Mokriy asfalt
Chevrolet Damas,Buxoro,2022,,Sedan,48 km,Mexanika,Orqa,,Oq
Chevrolet Lacetti,Ohangaron,2015,1.8 (Gaz-benzin),Sedan,135 000 km,Mexanika,Oldi,Ha,Oq
Chevrolet Epica,Jizzax,2009,2 (Gaz-benzin),Sedan,232 000 km,Mexanika,Oldi,,Oq
Chevrolet Spark,Andijon,2014,1.3 (Gaz-benzin),Hatchback,229 000 km,Mexanika,Oldi,Ha,Oq
Chevrolet Damas,Buxoro,2019,,Miniven,54 000 km,Mexanika,,Ha,Oq
Chevrolet Nexia 3,Buxoro,2022,1.5 (Benzin),Sedan,,Avtomat,Oldi,,Oq
